商品ID,标题,价格,参数信息,评论数,好评度,热点评论词
58258373796,华为（HUAWEI）畅享8e青春版 全面屏智能双卡双待老人备用手机 金色 全网通（2G+32G）,448,"华为（HUAWEI）华为畅享8e 青春版,58258373796,500.00g,2GB,32GB,其它存储卡,1300万像素,500万像素,其他,电池容量3020mAh （典型值）,5V/1A,金色",50,100,nan
35501118481,华为（HUAWEI）荣耀畅玩7 全网通移动联通电信4G全面屏智能老人手机 双卡双待（2G+16G） 蓝色(送高清膜+壳),449,"华为（HUAWEI）荣耀畅玩7,35501118481,308.00g,其它存储,支持MicroSD(TF),1300万像素,500万像素,其他,3020,5V/1A,蓝色",7600,97,"完美运行,漂亮大方,清晰度高,操作简便,待机给力,舒适性强,造型满分,"
31947590624,华为畅享8e 青春版 手机 老人手机 学生4G智能手机 黑色 （2GB+32G）全网通,449,"华为（HUAWEI）华为畅享8e,31947590624,500.00g,其它存储,不支持存储卡,1300万像素,1300万像素,其他,3020mAh （典型值）,5V/1A,黑色,其他",200,94,"清晰度高,轻重合适,"
37422966258,华为畅享8e 青春版 全面屏 全网通版4G 移动联通电信4G手机 金色 2GB+32GB,449,"华为（HUAWEI）畅享8e青春,37422966258,1.0kg,其它存储,其它存储卡,1300万像素,500万像素,其他,3020mAh （典型值）,5V/1A,其他",70,92,nan
54917179635,华为（HUAWEI） 畅享8e青春版手机 全网通移动联通电信4G指纹手机三卡全面屏 金色 全网通 2+32GB,458,"华为（HUAWEI） 畅享8e青春版手机 全网通移动联通电信4G指纹手机三卡全面屏 金色 全网通 2+32GB,54917179635,1.0kg,其它内存,32GB,支持MicroSD(TF),1300万像素,500万像素,老式屏幕(16:9),电池容量3020mAh （典型值）,5V/1A,混合色,其他",100,92,"反应超快,"
32815478018,华为（HUAWEI） 畅享8e青春版 畅享 8E 青春版 手机 全网通4G手机 黑色 全网通 2+32G,458,"华为（HUAWEI） 畅享8e青春版 畅享 8E 青春版 手机 全网通4G手机 黑色 全网通  2+32G,32815478018,450.00g,2GB,32GB,支持MicroSD(TF),1300万像素,500万像素,其他,3020mAh(典型值）,其他,黑色,其他",100,100,nan
34061100487,华为（HUAWEI）畅享8e青春版移动联通电信全网通4G手机双卡双待 黑色 公开全网通（2GB运存+32GB内存）,459,"华为（HUAWEI）畅享8e青春版移动联通电信全网通4G手机双卡双待 黑色 公开全网通（2GB运存+32GB内存）,34061100487,1.0kg,32GB,支持MicroSD(TF),1300万像素,500万像素,其他,电池容量3020mAh,其他,黑色",90,88,nan
54596884151,华为 HUAWEI 畅享8e 青春版 2GB+32GB全面屏 全网通版 移动联通电信4G手机 蓝色 2GB+32GB,468,"华为 HUAWEI 畅享8e 青春版 2GB+32GB全面屏 全网通版 移动联通电信4G手机 蓝色 2GB+32GB,54596884151,310.00g,2GB,32GB,其它存储卡,其他,其他,其他,电池容量3020mAh (典型值),其他,金色,其他",60,100,nan
62318859826,华为畅享8e青春版 黑色 全网通2G+32G,478,"华为（HUAWEI）DRA-AL00,62318859826,500.00g,其他,3GB,32GB,支持MicroSD(TF),其他,1300万像素,500万像素,其他英寸,其它分辨率,其它屏幕比例,其他,以官网为准,5V/1A,其他,Android(安卓)",100,95,nan
30063327300,华为（HUAWEI） 畅享8e 青春版全面屏 全网通版 移动联通电信4G手机 双卡双待 黑色 (2G RAM+32G ROM),479,"华为（HUAWEI）畅享8e 青春版,30063327300,310.00g,其它存储,其它存储卡,其他,其他,其他,电池容量3020mAh （典型值）,5V/1A,金色,其他",1500,96,"声音洪亮,"
57010128860,华为（HUAWEI） G9青春版 全网通4G智能手机 双卡双待 金色 3+16G,479,"华为（HUAWEI） G9青春版 全网通4G智能手机 双卡双待 金色 3+16G,57010128860,300.00g,其他,3GB,其它存储,支持MicroSD(TF),后置单摄,1300万像素,800万像素,5.2英寸,其它分辨率,其它屏幕比例,其他,3000,其他,金色,Android(安卓)",100,96,nan
33342236847,华为（HUAWEI） 畅享8e 青春版 全面屏智能手机 双卡双待 金色 全网通4G(2GB+32GB),479,"华为（HUAWEI）DRA-AL00,33342236847,310.00g,32GB,支持MicroSD(TF),1300万像素,500万像素,其他,3020mAh （典型值）,5V/1A,金色",80,97,nan
30548225961,【过潮年 有机惠】华为 (HUAWEI) 畅享8e青春版 手机 学生老人机 全网通 大屏 高性价比 金色 2G+32G,489,"【过潮年 有机惠】华为 (HUAWEI) 畅享8e青春版 手机 学生老人机 全网通 大屏 高性价比 金色 2G+32G,30548225961,500.00g,32GB,不支持存储卡,其他,其他,超高屏占比(>90%)的未开孔屏幕，其他,3020,5V/1A,其他",10,100,nan
37299315761,华为荣耀畅玩7手机8 双卡双待4G全网通智能老人机 黑色 全网通2GB+16GB,489,"华为荣耀畅玩7手机8 双卡双待4G全网通智能老人机 黑色 全网通2GB+16GB,37299315761,315.00g,2GB,8GB以下,支持MicroSD(TF),1300万像素,500万像素,其他,3020,5V/1A,其他,VOLTE 4G通话",3,100,nan
52046893655,华为荣耀畅玩8 手机【7天价保】全网通4G 老人老年手机 双卡双待 幻夜黑 2G+32G,498,"华为荣耀畅玩8 手机【7天价保】全网通4G 老人老年手机 双卡双待 幻夜黑 2G+32G,52046893655,200.00g,其它内存,其它存储,其它存储卡,1300万像素,500万像素,其他,3020,其他,黑色",3800,97,"声音洪亮,完美运行,毫无卡顿,功能齐全,使用简便,线条流畅,续航出色,清晰度高,漂亮大方,"
57081080908,华为荣耀 畅玩8智能老人手机学生备用机 蓝色 畅玩8全网通（2G+32G）,498,"华为荣耀 畅玩8智能老人手机学生备用机 蓝色 畅玩8全网通（2G+32G）,57081080908,400.00g,2GB,32GB,支持MicroSD(TF),1300万像素,500万像素,其他,其他,其他,蓝色,其他",3700,96,"漂亮大方,反应超快,清晰度高,操作简便,无比顺畅,做工精湛,操作简单,"
53372546336,华为（HUAWEI） 华为荣耀畅玩5X 智能手机 2GB运存+16GB内存 灰色 移动版 2+16GB,498,"华为（HUAWEI） 华为荣耀畅玩5X 智能手机 2GB运存+16GB内存 灰色 移动版 2+16GB,53372546336,1.0kg,其它内存,16GB,支持MicroSD(TF),1300万像素,500万像素,老式屏幕(16:9),0,其他,混合色,其他",10,100,nan
27175709766,华为（HUAWEI） G9青春版 全网通4G智能手机 全网通4G金色 4G(3GB运存+16GB内存),498,"华为（HUAWEI） G9青春版 ,27175709766,200.00g,16GB,其它存储卡,其他,其他,其他,3000,其他,金色,移动4G+",300,97,nan
7421462,华为 HUAWEI 畅享8e 青春版 2GB+32GB全面屏 金色 全网通版 移动联通电信4G手机 双卡双待,499,"华为畅享8e青春,7421462,310.00g,中国大陆,其他,2GB,32GB,支持MicroSD(TF),后置单摄,1300万像素,500万像素,5.45英寸,高清HD+,18:9,其他,电池容量3020mAh （典型值）,5V/1A,金色,人脸识别,Android(安卓),小于12 W,语音命令，语音识别(文字语音互转)",370000,98,"漂亮大方,响应速度飞快,使用舒适,真彩清晰显示屏,使用方便,长时间待机,声音清晰,颜色绚丽,内存充足,照片清晰,"
1.00E+11,荣耀 畅玩7 2GB+32GB 黑色 全网通4G手机 智能老人手机 双卡双待,499,"华为荣耀畅玩7,100009575752,310.00g,中国大陆,其他,2GB,32GB,支持MicroSD(TF),后置单摄,1300万像素,500万像素,5.45英寸,高清HD+,其它屏幕比例,其他,3020mAh（典型容量）,5V/1A,黑色,人脸识别,Android(安卓),超大音量",520000,99,"清晰度高,反应超快,色彩饱满,待机给力,拍照一流,质地细腻,优质耐用,操作简单,"
59018340625,荣耀畅玩8华为手机 珍珠全面屏 双卡双待 智能老人学生手机 幻夜黑 全网通(2G+32G),499,"荣耀畅玩8华为手机 珍珠全面屏 双卡双待 智能老人学生手机 幻夜黑 全网通(2G+32G),59018340625,200.00g,其它内存,其它存储,其它存储卡,1300万像素,500万像素,其他,3020mAh（典型值） 2920mAh（最小值）,5V/1A,其他",6700,96,"清晰度高,声音洪亮,性能够用,完美运行,流畅至极,反应超快,小巧精致,持久耐用,"
64497792967,华为（HUAWEI）畅享8e 青春版 全面屏 移动联通电信4G手机 智能老人机 蓝色 全网通2GB+32GB,499,"华为（HUAWEI）畅享8e 青春版 全面屏 移动联通电信4G手机 智能老人机 蓝色 全网通2GB+32GB,64497792967,200.00g,中国大陆,其他,2GB,32GB,支持MicroSD(TF),后置单摄,1300万像素,500万像素,5.45英寸,其它分辨率,18:9,其他,电池容量3020mAh （典型值）,5V/1A,蓝色,Android(安卓),智能机(老龄模式),其他",40,100,nan
52013967519,荣耀畅玩8 大字体大音量 华为手机老人老年机 幻夜黑 全网通2G+32G,499,"荣耀畅玩8 大字体大音量 华为手机老人老年机 幻夜黑 全网通2G+32G,52013967519,500.00g,其他,2GB,32GB,支持MicroSD(TF),后置单摄,1300万像素,500万像素,5.7英寸,其它分辨率,其它屏幕比例,水滴屏,3020mAh（典型值） 2920mAh（最小值）,5V/1A,黑色,Android(安卓)",200,100,"完美运行,流畅至极,"
57467368127,华为 荣耀畅玩8 5.71英寸珍珠全面屏 大字体大音量长续航 华为 畅玩8 畅玩7升级版 幻夜黑 全网通(2GB 32GB),499,"华为 荣耀畅玩8 5.71英寸珍珠全面屏 大字体大音量长续航 华为 畅玩8 畅玩7升级版手机 幻夜黑 全网通(2GB 32GB),57467368127,146.00g,2GB,32GB,其它存储卡,其他,其他,其他,3020mAh(典型值) 2920mAh(小值),其他,黑色,其他",10,100,nan
49465082880,华为荣耀 畅玩7 全网通手机 2GB+16GB 蓝色,499,"华为（HUAWEI）7,49465082880,300.00g,16GB,支持MicroSD(TF),1300万像素,500万像素,其他,3020(典型值）,5V/1A,其他",20,100,nan
41636971702,华为（HUAWEI） 荣耀畅玩7手机 全面屏通4G 电信移动联通4G智能安卓手机 2+16GB 黑色,499,"华为（HUAWEI） 荣耀畅玩7手机 全面屏通4G 电信移动联通4G智能安卓手机 2+16GB 黑色,41636971702,1.0kg,2GB,其它存储,支持MicroSD(TF),1200万像素,其他,其他,3020,5V/1A,黑色,其他,<90%,小于12 W",80,100,nan
62577888498,华为畅享8e 青春版 手机 老人手机 学生4G智能手机 金色 （2GB+32G）全网通,499,"华为（HUAWEI）华为畅享8e青春,62577888498,500.00g,其他,2GB,其它存储,不支持存储卡,后置单摄,1300万像素,1300万像素,5.45英寸,其它分辨率,其它屏幕比例,其他,3020mAh （典型值）,5V/1A,金色,Android(安卓)",0,100,nan
25437118518,华为（HUAWEI）畅享7 移动联通电信 全网通4G 双卡双待 智能手机 蓝色 2G RAM+16G ROM,499,"华为（HUAWEI） 畅享7,25437118518,1.0kg,32GB,支持MicroSD(TF),1300万像素,500万像素,其他,3020,其他,蓝色,其他",100,92,nan
51955080216,华为（HUAWEI）荣耀畅玩8 移动联通电信全网通4G 老人老年学生大字体全面屏智能 黑色 2GB+32GB,509,"华为（HUAWEI）畅玩8,51955080216,400.00g,2GB,32GB,支持MicroSD(TF),1300万像素,500万像素,其他,3020mAh（典型值） 2920mAh（最小值）,5V/1A,黑色,超大字体，超大音量，极简桌面模式,智能机(老龄模式)",1400,96,"待机给力,流畅至极,清晰度高,操作简便,无比顺畅,色彩饱满,声音洪亮,小巧精致,"
52049493561,荣耀畅玩8 智能老年老人手机 幻夜黑 全网通2G+32G,509,"荣耀畅玩8 智能老年老人手机 幻夜黑 全网通2G+32G,52049493561,500.00g,2GB,其它存储,其它存储卡,1300万像素,500万像素,其他,3020,5V/1A,黑色",100,100,nan
53295211659,华为（HUAWEI）荣耀畅玩8全网通手机 老人老年学生机 极光蓝 全网通 2GB+32GB,518,"华为（HUAWEI）荣耀畅玩8,53295211659,290.00g,2GB,其它存储,不支持存储卡,1300万像素,500万像素,其他,3020mAh（典型值） 2920mAh（最小值）,其他,蓝色,<90%",2000,96,"声音洪亮,颜色绚丽,流畅至极,清晰度高,配置高端,轻薄小巧,"
51809955148,华为荣耀畅玩8全面屏 智能老人手机 老人大字体老年机智能机学生机全网通全面屏 幻夜黑 2+32G,519,"华为荣耀畅玩8全面屏 智能老人手机 老人大字体老年机智能机学生机全网通全面屏 幻夜黑 2+32G,51809955148,1.0kg,其它内存,其它存储,其它存储卡,其他,其他,其他,3020mAh（典型值） 2920mAh（最小值）,5V/1A,其他",4500,97,"反应超快,灵敏度高,待机给力,操作简单,清晰度高,声音洪亮,功能齐全,轻薄适中,轻薄小巧,内存充足,"
57696349437,华为荣耀畅玩8全网通手机 老人老年学生机 极光蓝 全网通（2GB+32GB）,519,"华为荣耀畅玩8全网通手机 老人老年学生机 极光蓝 全网通（2GB+32GB）,57696349437,300.00g,其他,其它内存,32GB,支持MicroSD(TF),后置单摄,1300万像素,500万像素,其他英寸,其它分辨率,其它屏幕比例,其他,3020mAh（典型值） 2920mAh（最小值）,5V/1A,渐变色,Android(安卓)",70,100,"反应超快,续航出色,清晰度高,声音洪亮,手感一流,识别率强,简单好看,拍照一流,"
62990398313,荣耀畅玩8手机【荣耀直供】 幻夜黑 全网通2G+32G,528,"荣耀畅玩8手机【荣耀直供】 幻夜黑 全网通2G+32G,62990398313,500.00g,其他,2GB,其它存储,支持MicroSD(TF),其他,1300万像素,500万像素,其他英寸,其它分辨率,其它屏幕比例,其他,3020,其他,其他,Android(安卓)",0,100,nan
53190036225,华为(HUAWEI) 荣耀畅玩8 全网通版移动联通电信4G 全面屏老人手机 学生智能手机 幻夜黑(2G+32G)送壳膜,529,"华为（HUAWEI）荣耀畅玩8,53190036225,150.00g,2GB,32GB,支持MicroSD(TF),1300万像素,500万像素,其他,3020mAh（典型值）,5V/1A,黑色",800,97,"拍照一流,完美运行,使用简便,清晰度高,操作简便,质感俱佳,待机给力,做工精湛,"
51847960886,华为(HUAWEI)荣耀畅玩8 全网通版移动联通电信4G 全面屏老人老年学生智能手机 黑色 (2G RAM+32G ROM),535,"华为（HUAWEI）畅玩8,51847960886,300.00g,2GB,32GB,支持MicroSD(TF),1300万像素,500万像素,水滴屏,3020mAh（典型值）2920mAh（最小值）,5V/1A,黑色,人脸识别,智能机(老龄模式)",8200,97,"完美运行,使用简便,待机给力,声音洪亮,清晰度高,轻薄适中,手感一流,色彩饱满,"
63666621121,华为荣耀畅玩8全面屏 智能老人手机 老人大字体老年机智能机学生机全网通全面屏 蓝色 全网通 2+32G,538,"华为荣耀畅玩8全面屏 智能老人手机 老人大字体老年机智能机学生机全网通全面屏 蓝色 全网通 2+32G,63666621121,500.00g,其他,其它内存,其它存储,其它存储卡,其他,1300万像素,500万像素,其他英寸,其它分辨率,其它屏幕比例,其他,其他,其他,黑色,Android(安卓)",100,97,nan
52054697471,华为（HUAWEI）荣耀畅玩8 大字体大音量长续航 智能老人手机 极光蓝2G+32G,539,"华为（HUAWEI）荣耀畅玩8 大字体大音量长续航 智能老人手机 极光蓝2G+32G,52054697471,300.00g,其他,2GB,32GB,支持MicroSD(TF),后置单摄,1300万像素,500万像素,其他英寸,高清HD+,其它屏幕比例,其他,3020mAh（典型值） 2920mAh（最小值）,5V/1A,黑色,Android(安卓)",300,95,nan
54615048905,华为荣耀畅玩8手机 5.71英寸珍珠全面屏 大字体大音量长续航 双卡双待 全网通 幻夜黑 2G+32G,539,"华为（HUAWEI）荣耀畅玩8,54615048905,1.0kg,2GB,32GB,支持MicroSD(TF),1300万像素,500万像素,其他,3020mAh（典型值） 2920mAh（最小值）,5V/1A,黑色",40,85,nan
57050067817,华为（HUAWEI）荣耀Play3e 全网通版移动联通电信4G 双卡双待 全面屏智能老人老年 幻夜黑 (2G RAM 32G ROM),588,"华为（HUAWEI）荣耀Play3e,57050067817,305.00g,2GB,32GB,其它存储卡,1300万像素,500万像素,其他,3020mAh（典型值） 2920mAh（最小值）,5V/1A,黑色",700,98,"使用简便,声音洪亮,清晰度高,操作简便,内存充足,"
57004161080,荣耀畅玩7 智能老人手机 金色 全网通2G+16G,588,"华为（HUAWEI）畅玩7,57004161080,500.00g,2GB,其它存储,其它存储卡,其他,其他,其他,3020,5V/1A,金色,其他",5600,97,"操作简便,"
1.00E+11,荣耀畅玩8A 6.09英寸珍珠全面屏 震撼大音量 3GB+32GB 幻夜黑 移动联通电信4G全面屏 双卡双待,599,"华为荣耀畅玩8A,100002727566,150.00g,中国大陆,其他,3GB,32GB,支持MicroSD(TF),后置单摄,1300万像素,800万像素,6.088英寸,高清HD+,其它屏幕比例,其他,3020mAh（典型值）,5V/1A,幻夜黑,Android(安卓),其他",420000,99,"画面清晰细腻,真彩清晰显示屏,逆光暗光都清晰,声音大而洪亮,双拼机身设计,响应速度飞快,使用舒适,操作简便,色彩饱满,长时间待机,配置超棒,内存充足,"
53555007136,荣耀畅玩8A手机 华为双卡双待 老人学生手机 幻夜黑 全网通(3+32G),599,"荣耀畅玩8A手机 华为双卡双待 老人学生手机 幻夜黑 全网通(3+32G),53555007136,123.00g,其它内存,其它存储,其它存储卡,1300万像素,800万像素,其他,3020mAh（典型值）,5V/1A,其他,超高屏占比,其他",2700,98,"声音洪亮,流畅至极,清晰度高,设计一流,操作简便,漂亮大方,待机给力,"
57280014654,华为 荣耀Play3e 移动联通电信全网通4G 全面屏智能老人老年学生手机 双卡双待 幻夜黑 （2G+32G）,599,"华为 荣耀Play3e 移动联通电信全网通4G 全面屏智能老人老年学生手机 双卡双待 幻夜黑 （2G+32G）,57280014654,300.00g,2GB,64GB,支持MicroSD(TF),1300万像素,500万像素,其他,3020,其他,黑色,100W以上",60,100,"清晰度高,待机给力,声音清晰,"
26089612733,华为（HUAWEI） 荣耀V9play 移动联通电信4G手机 双卡双待 烈焰红 全网通3GB运存 32GB内存标准版,599,"华为（HUAWEI）荣耀 V9 play ,26089612733,1.0kg,其他,32GB,支持MicroSD(TF),后置单摄,1300万像素,800万像素,5.2英寸,其它分辨率,其它屏幕比例,其他,3000,其他,红色,Android(安卓)",100,98,nan
61061899001,华为（HUAWEI）荣耀畅玩8A 珍珠全面屏 震撼大音量 智能老人老年学生手机 铂光金 通4G(3GB+32GB),599,"华为（HUAWEI）荣耀畅玩8A 珍珠全面屏 震撼大音量 智能老人老年学生手机 铂光金 通4G(3GB+32GB),61061899001,150.00g,其他,3GB,32GB,其它存储卡,后置单摄,1300万像素,800万像素,6.088英寸,高清HD+,其它屏幕比例,其他,3020mAh(典型值),5V/1A,金色,Android(安卓)",8,100,nan
56603628623,华为（HUAWEI）荣耀 畅玩8A 手机 全网通4G手机 大字体大声音长待机 幻夜黑 全网通 3GB+32GB,599,"华为（HUAWEI）荣耀 畅玩8A 手机 全网通4G手机 大字体大声音长待机 幻夜黑 全网通 3GB+32GB,56603628623,500.00g,3GB,其它存储,其它存储卡,其他,其他,其他,3020mAh(典型值),其他,黑色,其他,SOS功能",100,100,nan
53311504061,华为（HUAWEI）荣耀 畅玩6A 畅玩6a 智能老人手机 双卡双待 全网通4G手机 畅玩8A黑色 全网通4G(3GB+32GB),599,"华为（HUAWEI）荣耀 畅玩6A 畅玩6a 智能老人手机 双卡双待 全网通4G手机 畅玩8A黑色 全网通4G(3GB+32GB),53311504061,200.00g,3GB,其它存储,其它存储卡,其他,其他,其他,3020mAh,其他,黑色,其他",100,93,nan
53734166311,华为（HUAWEI）荣耀畅玩8A双卡双待4G手机 幻夜黑 全网通 3GB+32GB,599,"华为（HUAWEI）荣耀畅玩8A,53734166311,500.00g,中国大陆,3GB,其它存储,支持MicroSD(TF),1300万像素,800万像素,水滴屏,3020mAh（典型值）,5V/1A,黑色,VOLTE 4G通话",10,100,nan
52111581953,华为荣耀畅玩8手机 大字体大音量长续航 极光蓝 全网通(2GB 32GB),599,"华为荣耀畅玩8手机 大字体大音量长续航 极光蓝 全网通(2GB 32GB),52111581953,200.00g,2GB,32GB,支持MicroSD(TF),1300万像素,500万像素,其他,3020mAh（典型值） 2920mAh（最小值）,5V/1A,极光色",30,87,nan
42436089334,华为（HUAWEI）荣耀畅玩8A 手机 幻夜黑 全网通(3GB RAM+32GB ROM),599,"华为（HUAWEI）8A,42436089334,500.00g,3GB,32GB,支持MicroSD(TF),1300万像素,800万像素,其他,3020毫安,5V/1A,黑色,人脸识别,VOLTE 4G通话",70,94,"流畅至极,声音洪亮,"
57245955840,华为（HUAWEI） 荣耀 畅玩7 智能老人手机 黑色 全网通16G,599,"华为（HUAWEI） 荣耀 畅玩7 智能老人手机 黑色 全网通16G,57245955840,500.00g,其它内存,其它存储,其它存储卡,其他,其他,其他,3020,其他,其他,其他,超大字体",20,100,nan
54597075384,华为（HUAWEI）畅享8e移动联通电信4G全网通全面屏智能老人手机 华为8E手机 金色 全网通 3G+32G,608,"华为（HUAWEI）畅享8e移动联通电信4G全网通全面屏智能老人手机 华为8E手机 金色 全网通 3G+32G,54597075384,380.00g,3GB,其它存储,其它存储卡,其他,其他,其他,3000,其他,金色,其他,超大字体",100,90,nan
62991792216,荣耀play3e手机【荣耀直供赠多重好礼】 铂光金 全网通2G+32G,608,"荣耀play3e手机【荣耀直供赠多重好礼】 铂光金 全网通2G+32G,62991792216,500.00g,其他,其它内存,64GB,支持MicroSD(TF),其他,1300万像素,500万像素,其他英寸,其它分辨率,其它屏幕比例,其他,3020,5V/1A,黑色,Android(安卓)",20,100,nan
